N|FIPS|ADM3|ADM2|ADM1|KEY|LAT|LON|T|01/22/2020|01/23/2020|01/24/2020|01/25/2020|01/26/2020|01/27/2020|01/28/2020|01/29/2020|01/30/2020|01/31/2020|02/01/2020|02/02/2020|02/03/2020|02/04/2020|02/05/2020|02/06/2020|02/07/2020|02/08/2020|02/09/2020|02/10/2020|02/11/2020|02/12/2020|02/13/2020|02/14/2020|02/15/2020|02/16/2020|02/17/2020|02/18/2020|02/19/2020|02/20/2020|02/21/2020|02/22/2020|02/23/2020|02/24/2020|02/25/2020|02/26/2020|02/27/2020|02/28/2020|02/29/2020|03/01/2020|03/02/2020|03/03/2020|03/04/2020|03/05/2020|03/06/2020|03/07/2020|03/08/2020|03/09/2020|03/10/2020|03/11/2020|03/12/2020|03/13/2020|03/14/2020|03/15/2020|03/16/2020|03/17/2020|03/18/2020|03/19/2020|03/20/2020|03/21/2020|03/22/2020|03/23/2020|03/24/2020|03/25/2020|03/26/2020|03/27/2020|03/28/2020|03/29/2020|03/30/2020|03/31/2020|04/01/2020|04/02/2020|04/03/2020|04/04/2020|04/05/2020|04/06/2020|04/07/2020|04/08/2020|04/09/2020|04/10/2020|04/11/2020|04/12/2020|04/13/2020|04/14/2020|04/15/2020|04/16/2020|04/17/2020|04/18/2020|04/19/2020|04/20/2020|04/21/2020|04/22/2020|04/23/2020
57|N/A|N/A|N/A|Austria|Austria|47.5162|14.5501|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|4|4|4|6|6|6|6|1|9|9|9|9|9|9|9|9|112|225|225|479|636|1095|1436|1749|2022|2507|2998|3463|4046|4512|5240|6064|6604|6987|7343|7633|8098|8986|9704|10214|10501|10631|10971|11328|11694
58|N/A|N/A|N/A|Azerbaijan|Azerbaijan|40.1431|47.5769|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|3|3|3|3|6|6|9|9|9|11|11|11|15|15|23|28|28|28|44|44|53|65|72|87|93|122|165|182|209|273|298|359|400|443|521|584|641|717|822|926|991|1058|1098|1148|1197|1253|1283|1340|1373|1398|1436|1480|1518|1548
59|N/A|N/A|N/A|Azerbaijan|Azerbaijan|40.1431|47.5769|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|2|3|3|4|4|4|5|5|5|5|5|7|7|8|8|9|10|11|11|12|13|13|15|15|18|19|19|20|20|20
60|N/A|N/A|N/A|Azerbaijan|Azerbaijan|40.1431|47.5769|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|3|3|3|3|6|6|6|6|6|6|11|10|10|10|10|15|15|15|15|26|26|26|26|32|32|32|44|44|63|101|159|200|250|289|351|404|460|528|590|712|791|865|907|948
61|N/A|N/A|N/A|Bahamas|Bahamas|25.0343|-77.3963|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|3|3|4|4|4|5|5|9|10|10|11|14|14|21|24|24|28|28|29|33|40|41|42|46|46|47|49|49|53|54|55|55|60|65|65|72
62|N/A|N/A|N/A|Bahamas|Bahamas|25.0343|-77.3963|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|4|4|5|6|7|8|8|8|8|8|8|8|8|9|9|9|9|9|9|11
63|N/A|N/A|N/A|Bahamas|Bahamas|25.0343|-77.3963|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|0|2|4|5|5|5|5|5|5|6|6|6|6|6|10|10|11|12|12|14
64|N/A|N/A|N/A|Bahrain|Bahrain|26.0275|50.55|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|23|33|33|36|41|47|49|49|52|55|60|85|85|95|110|195|195|195|210|214|214|228|256|278|285|305|334|377|392|419|458|466|476|499|515|567|569|643|672|688|700|756|811|823|887|925|1040|1136|1361|1528|1671|1700|1740|1773|1881|1907|1973|2027|2217
65|N/A|N/A|N/A|Bahrain|Bahrain|26.0275|50.55|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|2|2|3|4|4|4|4|4|4|4|4|4|4|4|4|4|5|5|5|6|6|6|6|7|7|7|7|7|7|7|7|7|8
66|N/A|N/A|N/A|Bahrain|Bahrain|26.0275|50.55|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|4|4|4|14|22|35|35|44|44|60|77|81|88|100|100|125|149|149|177|177|204|227|265|272|279|295|337|381|382|423|431|458|458|477|519|539|555|558|591|645|663|703|725|755|759|769|784|1026|1082
67|N/A|N/A|N/A|Bangladesh|Bangladesh|23.685|90.3563|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|3|3|3|3|3|3|3|5|8|10|14|17|20|25|27|33|39|39|44|48|48|48|49|51|54|56|61|70|88|123|164|218|330|424|482|621|803|1012|1231|1572|1838|2144|2456|2948|3382|3772|4186
68|N/A|N/A|N/A|Bangladesh|Bangladesh|23.685|90.3563|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|2|2|3|4|5|5|5|5|5|5|5|6|6|6|8|9|12|17|20|21|27|30|34|39|46|50|60|75|84|91|101|110|120|127
69|N/A|N/A|N/A|Bangladesh|Bangladesh|23.685|90.3563|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|3|3|3|3|3|3|3|5|7|11|11|15|15|19|25|25|25|26|30|33|33|33|33|33|33|36|39|42|42|49|49|58|66|75|85|87|92|108
70|N/A|N/A|N/A|Barbados|Barbados|13.1939|-59.5432|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|2|5|5|6|14|17|18|18|18|24|26|33|33|34|34|46|51|52|56|60|63|63|66|67|68|71|72|72|73|75|75|75|75|75|75|75|76
71|N/A|N/A|N/A|Barbados|Barbados|13.1939|-59.5432|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|3|3|3|4|4|4|4|4|5|5|5|5|5|5|5|5|6
72|N/A|N/A|N/A|Barbados|Barbados|13.1939|-59.5432|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|6|6|6|8|11|11|11|11|13|13|15|15|15|17|17|19|25|25|30
73|N/A|N/A|N/A|Belarus|Belarus|53.7098|27.9534|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|6|6|6|6|6|6|9|9|12|27|27|27|36|36|51|51|69|76|76|81|81|86|86|94|94|94|152|152|163|304|351|440|562|700|861|1066|1486|1981|2226|2578|2919|3281|3728|4204|4779|4779|4779|6264|6723|7281|8022
74|N/A|N/A|N/A|Belarus|Belarus|53.7098|27.9534|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|4|4|5|8|13|13|13|16|19|23|26|29|33|36|40|42|45|47|51|55|58|60
75|N/A|N/A|N/A|Belarus|Belarus|53.7098|27.9534|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3|3|3|3|3|3|3|3|5|5|5|15|15|15|22|29|29|32|32|32|32|47|53|53|53|53|52|53|54|77|139|169|172|203|203|203|203|203|342|342|494|514|577|769|938
76|N/A|N/A|N/A|Belgium|Belgium|50.8333|4.0|C|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|8|13|23|50|109|169|200|239|267|314|314|559|689|886|1058|1243|1486|1795|2257|2815|3401|3743|4269|4937|6235|7284|9134|10836|11899|12775|13964|15348|16770|18431|19691|20814|22194|23403|24983|26667|28018|29647|30589|31119|33573|34809|36138|37183|38496|39983|40956|41889|42797
77|N/A|N/A|N/A|Belgium|Belgium|50.8333|4.0|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|3|3|3|4|4|5|10|14|21|37|67|75|88|122|178|220|289|353|431|513|705|828|1011|1143|1283|1447|1632|2035|2240|2523|3019|3346|3600|3903|4157|4440|4857|5163|5453|5683|5828|5998|6262|6490
78|N/A|N/A|N/A|Belgium|Belgium|50.8333|4.0|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|31|31|1|263|263|263|461|547|675|858|1063|1359|1527|1696|2132|2495|2872|3247|3751|3986|4157|4681|5164|5568|5986|6463|6707|6868|7107|7562|7961|8348|8757|8895|9002|9433|9800
79|N/A|N/A|N/A|Belize|Belize|13.1939|-59.5432|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|2|2|2|2|2|3|3|3|3|4|4|5|7|7|8|9|10|13|14|18|18|18|18|18|18|18|18|18|18|18
80|N/A|N/A|N/A|Belize|Belize|13.1939|-59.5432|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2
81|N/A|N/A|N/A|Belize|Belize|13.1939|-59.5432|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|2|2|2|5
82|N/A|N/A|N/A|Benin|Benin|9.3077|2.3158|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|2|2|2|2|2|5|6|6|6|6|6|6|6|9|13|13|16|16|22|26|26|26|26|35|35|35|35|35|35|35|35|35|35|54|54|54|54
83|N/A|N/A|N/A|Benin|Benin|9.3077|2.3158|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
84|N/A|N/A|N/A|Benin|Benin|9.3077|2.3158|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|2|2|5|5|5|5|5|5|5|5|5|18|18|18|18|18|18|27|27|27|27
85|N/A|N/A|N/A|Bhutan|Bhutan|27.5142|90.4336|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2|3|3|4|4|4|4|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|6|6|7
86|N/A|N/A|N/A|Bhutan|Bhutan|27.5142|90.4336|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
87|N/A|N/A|N/A|Bhutan|Bhutan|27.5142|90.4336|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|3
88|N/A|N/A|N/A|Bolivia|Bolivia|-16.2902|-63.5887|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|2|3|10|10|11|11|12|12|15|19|24|27|29|32|43|61|74|81|97|107|115|123|132|139|157|183|194|210|264|268|275|300|330|354|397|441|465|493|520|564|598|609|703
89|N/A|N/A|N/A|Bolivia|Bolivia|-16.2902|-63.5887|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|4|6|7|8|9|10|10|11|14|15|18|19|20|24|27|28|28|29|31|31|32|33|34|37|43
90|N/A|N/A|N/A|Bolivia|Bolivia|-16.2902|-63.5887|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|2|2|2|2|2|2|2|2|2|6|7|14|26|31|31|31|37|44|44
91|N/A|N/A|N/A|Bosnia and Herzegovina|Bosnia and Herzegovina|43.9159|17.6791|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|2|3|3|3|5|7|11|13|18|24|25|26|38|63|89|93|126|136|166|176|191|237|258|323|368|420|459|533|579|624|654|674|764|804|858|901|946|1009|1037|1083|1110|1167|1214|1268|1285|1309|1342|1368|1413
92|N/A|N/A|N/A|Bosnia and Herzegovina|Bosnia and Herzegovina|43.9159|17.6791|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|3|3|3|4|5|6|10|13|13|16|17|21|23|29|33|34|35|36|37|39|39|40|41|43|46|47|48|49|51|53|54
93|N/A|N/A|N/A|Bosnia and Herzegovina|Bosnia and Herzegovina|43.9159|17.6791|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|2|2|2|2|2|2|2|2|2|5|5|8|17|17|19|20|27|30|30|47|68|79|101|129|139|193|206|236|253|277|320|338|347|381|437|460|485
94|N/A|N/A|N/A|Botswana|Botswana|-22.3285|24.6849|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|3|4|4|4|4|4|6|6|6|6|13|13|13|13|13|13|13|15|15|15|20|20|20|22|22
95|N/A|N/A|N/A|Botswana|Botswana|-22.3285|24.6849|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
96|N/A|N/A|N/A|Botswana|Botswana|-22.3285|24.6849|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
97|N/A|N/A|N/A|Brazil|Brazil|-14.235|-51.9253|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|2|2|2|2|4|4|13|13|20|25|31|38|52|151|151|162|200|321|372|621|793|1021|1546|1924|2247|2554|2985|3417|3904|4256|4579|5717|6836|8044|9056|10360|11130|12161|14034|16170|18092|19638|20727|22192|23430|25262|28320|30425|33682|36658|38654|40743|43079|45757|50036
98|N/A|N/A|N/A|Brazil|Brazil|-14.235|-51.9253|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3|6|11|15|25|34|46|59|77|92|111|136|159|201|240|324|359|445|486|564|686|819|950|1057|1124|1223|1328|1532|1736|1924|2141|2354|2462|2587|2741|2906|3331
99|N/A|N/A|N/A|Brazil|Brazil|-14.235|-51.9253|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|2|2|2|2|2|2|2|2|6|6|6|6|120|127|127|127|127|127|127|127|127|127|173|173|173|173|173|3046|14026|14026|14026|14026|22130|22130|22991|25318|26573
100|N/A|N/A|N/A|Brunei|Brunei|4.5353|114.7277|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|11|11|37|40|50|54|56|68|75|78|83|88|91|104|109|114|115|120|126|127|129|131|133|134|135|135|135|135|135|135|136|136|136|136|136|136|136|136|137|138|138|138|138|138
101|N/A|N/A|N/A|Brunei|Brunei|4.5353|114.7277|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
102|N/A|N/A|N/A|Brunei|Brunei|4.5353|114.7277|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|2|2|2|2|5|11|25|34|38|45|52|56|65|66|73|82|85|91|92|99|104|106|107|107|108|108|112|113|115|116|116|117|119
103|N/A|N/A|N/A|Bulgaria|Bulgaria|42.7339|25.4858|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|4|4|4|7|7|23|41|51|52|67|92|94|127|163|187|201|218|242|264|293|331|346|359|399|422|457|485|503|531|549|577|593|618|635|661|675|685|713|747|800|846|878|894|929|975|1024|1097
104|N/A|N/A|N/A|Bulgaria|Bulgaria|42.7339|25.4858|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|2|2|2|2|2|3|3|3|3|3|3|3|3|3|7|8|8|8|10|10|14|17|20|22|23|24|24|25|28|29|32|35|36|38|41|41|42|43|45|49|52
105|N/A|N/A|N/A|Bulgaria|Bulgaria|42.7339|25.4858|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|3|3|3|3|4|8|9|11|14|17|17|20|25|30|34|37|39|42|42|48|54|62|68|71|81|105|122|141|153|161|167|170|174|190
106|N/A|N/A|N/A|Burkina Faso|Burkina Faso|12.2383|-1.5616|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|2|2|2|3|15|15|20|33|40|64|75|99|114|146|152|180|207|222|246|261|282|288|302|318|345|364|384|414|443|443|484|497|497|528|542|546|557|565|576|581|600|609|616
107|N/A|N/A|N/A|Burkina Faso|Burkina Faso|12.2383|-1.5616|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|2|4|4|4|4|7|9|11|12|12|14|16|16|16|16|17|18|19|23|24|24|27|27|27|30|32|32|35|36|36|38|38|39|41
108|N/A|N/A|N/A|Burkina Faso|Burkina Faso|12.2383|-1.5616|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|5|5|5|7|10|10|12|21|23|31|32|46|50|50|66|90|108|127|134|146|146|155|161|161|177|226|257|294|321|338|357|362|389|410
109|N/A|N/A|N/A|Burma|Burma|21.9162|95.956|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|8|8|10|14|15|15|20|20|21|21|22|22|22|23|27|38|41|62|63|74|85|88|98|111|119|121|123|139
110|N/A|N/A|N/A|Burma|Burma|21.9162|95.956|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|3|3|3|3|4|4|4|4|4|4|5|5|5|5|5|5
111|N/A|N/A|N/A|Burma|Burma|21.9162|95.956|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|2|2|2|2|2|2|2|5|5|7|7|7|7|9
112|N/A|N/A|N/A|Burundi|Burundi|-3.3731|29.9189|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|2|3|3|3|3|3|3|3|3|3|5|5|5|5|5|5|5|5|5|5|5|11|11
113|N/A|N/A|N/A|Burundi|Burundi|-3.3731|29.9189|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1
114|N/A|N/A|N/A|Burundi|Burundi|-3.3731|29.9189|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|4|4|4|4
